OBJECTID,src_FID,nbr_FID,LENGTH,NODE_COUNT
617,96,2085,0.00279544303,0
618,96,2086,0.00000000000,1
619,97,62,0.00000000000,1
620,97,469,0.00346361450,0
621,97,749,0.00345605054,0
622,97,1428,0.00086180105,0
623,97,1430,0.00429005794,0
624,97,1736,0.00086394463,0
625,97,1737,0.00428872886,0
626,98,59,0.00080135103,0
627,98,60,0.00241586592,0
628,98,64,0.00161498705,0
629,98,68,0.00063924508,0
630,98,95,0.00092956137,0
631,98,96,0.00591030684,0
632,98,99,0.00497489825,0
633,98,1748,0.00254632975,0
634,99,58,0.00000000000,1
635,99,59,0.00167504502,0
636,99,95,0.00294207044,0
637,99,98,0.00497489825,0
638,99,101,0.00459808011,0
639,99,103,0.00220516501,0
640,99,719,0.00000000000,1
641,100,93,0.00259686816,0
642,100,94,0.00172750220,0
643,100,102,0.00428954114,0
644,100,104,0.00173189280,0
645,100,106,0.00259472282,0
646,100,1737,0.00428924040,0
647,101,95,0.00000000000,1
648,101,99,0.00459808011,0
649,101,103,0.00614628649,0
650,101,577,0.00191111927,0
651,101,719,0.00469660146,0
652,102,92,0.00345639260,0
653,102,93,0.00086545454,0
654,102,100,0.00428954114,0
655,102,104,0.00432182775,0
656,102,994,0.00428978896,0
657,103,54,0.00000000000,1
658,103,58,0.00249389060,0
659,103,59,0.00000000000,1
660,103,99,0.00220516501,0
661,103,101,0.00614628649,0
662,103,105,0.00140613873,0
663,103,110,0.00567441565,0
664,103,577,0.00068896978,0
665,104,100,0.00173189280,0
666,104,102,0.00432182775,0
667,104,106,0.00373849019,0
668,104,389,0.00086434070,0
669,104,390,0.00245546521,0
670,104,392,0.00565084641,0
671,104,994,0.00345958071,0
672,104,995,0.00433433524,0
673,105,103,0.00140613873,0
674,105,107,0.00409962182,0
675,105,109,0.00565130638,0
676,105,110,0.00458781650,0
677,105,577,0.00639084333,0
678,106,62,0.00533235690,0
679,106,100,0.00259472282,0
680,106,104,0.00373849019,0
681,106,388,0.00172457043,0
682,106,389,0.00325537010,0
683,106,1737,0.00086442721,0
684,107,105,0.00409962182,0
685,107,109,0.00201197395,0
686,107,112,0.00193680827,0
687,107,132,0.00270183674,0
688,107,192,0.00000000000,1
689,107,576,0.00000000000,1
690,107,577,0.00257850141,0
691,107,1599,0.00794307568,0
692,108,19,0.00000000000,1
693,108,20,0.00000000000,1
694,108,21,0.00514632091,0
695,108,23,0.00514640390,0
696,108,24,0.00000000000,1
697,108,25,0.00000000000,1
698,108,673,0.00323219306,0
699,108,1341,0.00323319424,0
700,109,105,0.00565130638,0
701,109,107,0.00201197395,0
702,109,110,0.00243179220,0
703,109,111,0.00339231133,0
704,109,112,0.00243031015,0
705,109,597,0.00427328107,0
706,110,54,0.00248321076,0
707,110,58,0.00000000000,1
708,110,103,0.00567441565,0
709,110,105,0.00458781650,0
710,110,109,0.00243179220,0
711,110,597,0.00561612532,0
712,111,109,0.00339231133,0
713,111,112,0.00486696855,0
714,111,113,0.00000000000,1
715,111,574,0.00371709786,0
716,111,597,0.00357808383,0
717,111,917,0.00582965710,0
718,111,1005,0.00000000000,1
719,112,107,0.00193680827,0
720,112,109,0.00243031015,0
721,112,111,0.00486696855,0
722,112,113,0.00193682103,0
723,112,130,0.00243151055,0
724,112,132,0.00000000000,1
725,112,192,0.00486483910,0
726,112,917,0.00000000000,1
727,113,111,0.00000000000,1
728,113,112,0.00193682103,0
729,113,114,0.00286418936,0
730,113,127,0.00000000000,1
731,113,128,0.00486302116,0
732,113,130,0.00243498571,0
733,113,917,0.00822976726,0
734,114,113,0.00286418936,0
735,114,126,0.00199533636,0
736,114,127,0.00925814857,0
737,114,128,0.00000000000,1
738,114,191,0.00274972126,0
739,114,491,0.00107791317,0
740,114,917,0.00245594019,0
741,114,1589,0.00531767553,0
742,114,1751,0.00288689758,0
743,114,1752,0.00218555461,0
744,115,50,0.00080276622,0
745,115,51,0.00242306984,0
746,115,52,0.00286758800,0
747,115,116,0.00927279043,0
748,115,721,0.00257227475,0
749,115,722,0.00585209299,0
750,115,1307,0.00000000000,1
